tileset,index,type_or_hex
indoor_jubilife,0,NORMAL
indoor_jubilife,1,NORMAL
indoor_jubilife,2,NORMAL
indoor_jubilife,3,NORMAL
indoor_jubilife,4,NORMAL
indoor_jubilife,5,NORMAL
indoor_jubilife,6,NORMAL
indoor_jubilife,7,NORMAL
indoor_jubilife,8,NORMAL
indoor_jubilife,9,NORMAL
indoor_jubilife,10,NORMAL
indoor_jubilife,11,NORMAL
indoor_jubilife,12,NORMAL
indoor_jubilife,13,NORMAL
indoor_jubilife,14,NORMAL
indoor_jubilife,15,NORMAL
indoor_jubilife,16,NORMAL
indoor_jubilife,17,NORMAL
indoor_jubilife,18,NORMAL
indoor_jubilife,19,NORMAL
indoor_jubilife,20,NORMAL
indoor_jubilife,21,NORMAL
indoor_jubilife,22,NORMAL
indoor_jubilife,23,NORMAL
indoor_jubilife,24,NORMAL
indoor_jubilife,25,NORMAL
indoor_jubilife,26,NORMAL
indoor_jubilife,27,NORMAL
indoor_jubilife,28,NORMAL
indoor_jubilife,29,NORMAL
indoor_jubilife,30,NORMAL
indoor_jubilife,31,NORMAL
indoor_jubilife,32,NORMAL
indoor_jubilife,33,NORMAL
indoor_jubilife,34,NORMAL
indoor_jubilife,35,NORMAL
indoor_jubilife,36,NORMAL
indoor_jubilife,37,NORMAL
indoor_jubilife,38,NORMAL
indoor_jubilife,39,NORMAL
indoor_jubilife,40,NORMAL
indoor_jubilife,41,NORMAL
indoor_jubilife,42,NORMAL
indoor_jubilife,43,NORMAL
indoor_jubilife,44,NORMAL
indoor_jubilife,45,NORMAL
indoor_jubilife,46,NORMAL
indoor_jubilife,47,NORMAL
indoor_jubilife,48,NORMAL
indoor_jubilife,49,NORMAL
indoor_jubilife,50,NORMAL
indoor_jubilife,51,NORMAL
indoor_jubilife,52,NORMAL
indoor_jubilife,53,NORMAL
indoor_jubilife,54,NORMAL
indoor_jubilife,55,NORMAL
indoor_jubilife,56,NORMAL
indoor_jubilife,57,NORMAL
indoor_jubilife,58,NORMAL
indoor_jubilife,59,NORMAL
indoor_jubilife,60,NORMAL
indoor_jubilife,61,NORMAL
indoor_jubilife,62,NORMAL
indoor_jubilife,63,NORMAL
indoor_jubilife,64,NORMAL
indoor_jubilife,65,NORMAL
indoor_jubilife,66,NORMAL
indoor_jubilife,67,NORMAL
indoor_jubilife,68,NORMAL
indoor_jubilife,69,NORMAL
indoor_jubilife,70,NORMAL
indoor_jubilife,71,NORMAL
indoor_jubilife,72,NORMAL
indoor_jubilife,73,NORMAL
indoor_jubilife,74,NORMAL
indoor_jubilife,75,NORMAL
indoor_jubilife,76,NORMAL
indoor_jubilife,77,NORMAL
indoor_jubilife,78,NORMAL
indoor_jubilife,79,NORMAL
indoor_jubilife,80,NORMAL
indoor_jubilife,81,NORMAL
indoor_jubilife,82,NORMAL
indoor_jubilife,83,NORMAL
indoor_jubilife,84,NORMAL
indoor_jubilife,85,NORMAL
indoor_jubilife,86,NORMAL
indoor_jubilife,87,NORMAL
indoor_jubilife,88,NORMAL
indoor_jubilife,89,NORMAL
indoor_jubilife,90,NORMAL
