id,behavior
0,MB_ROCK_STAIRS
1,MB_ROCK_STAIRS
2,MB_ROCK_STAIRS
3,MB_CAVE
4,MB_CAVE
8,MB_ROCK_STAIRS
9,MB_ROCK_STAIRS
10,MB_ROCK_STAIRS
16,MB_CAVE
17,MB_NON_ANIMATED_DOOR
18,MB_CAVE
29,MB_CAVE
33,MB_CAVE
35,MB_CAVE
38,MB_CAVE
39,MB_CAVE
41,MB_CAVE
43,MB_CAVE
48,MB_CAVE
49,MB_CAVE
50,MB_CAVE
51,MB_CAVE
56,MB_CAVE
57,MB_JUMP_SOUTH
58,MB_JUMP_SOUTH
59,MB_JUMP_SOUTH
65,MB_CAVE
66,MB_CAVE
67,MB_CAVE
68,MB_CAVE
69,MB_CAVE
72,MB_CAVE
73,MB_CAVE
74,MB_CAVE
75,MB_CAVE
76,MB_CAVE
77,MB_CAVE
128,MB_CAVE
129,MB_CAVE
130,MB_CAVE
131,MB_CAVE
132,MB_CAVE
133,MB_CAVE
136,MB_CAVE
137,MB_CAVE
138,MB_CAVE
139,MB_CAVE
140,MB_CAVE
141,MB_CAVE
192,MB_CAVE
193,MB_CAVE
194,MB_CAVE
195,MB_CAVE
196,MB_CAVE
197,MB_CAVE
200,MB_CAVE
201,MB_CAVE
202,MB_CAVE
203,MB_CAVE
204,MB_CAVE
205,MB_CAVE
