id,behavior
2,MB_TALL_GRASS
3,MB_TALL_GRASS
4,MB_TALL_GRASS
7,MB_TALL_GRASS
16,MB_POND_WATER
31,MB_SOUTH_ARROW_WARP
32,MB_POND_WATER
33,MB_POND_WATER
34,MB_POND_WATER
40,MB_POND_WATER
41,MB_POND_WATER
42,MB_POND_WATER
48,MB_POND_WATER
49,MB_POND_WATER
50,MB_POND_WATER
56,MB_POND_WATER
57,MB_POND_WATER
58,MB_POND_WATER
60,MB_TALL_GRASS
61,MB_TALL_GRASS
65,MB_WEST_ARROW_WARP
67,MB_POND_WATER
69,MB_ROCK_STAIRS
70,MB_ROCK_STAIRS
71,MB_ROCK_STAIRS
73,MB_WEST_ARROW_WARP
86,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
94,MB_SIDEWAYS_STAIRS_LEFT_SIDE
95,MB_SIDEWAYS_STAIRS_LEFT_SIDE_TOP
102,MB_SIDEWAYS_STAIRS_LEFT_SIDE_BOTTOM
103,MB_SIDEWAYS_STAIRS_LEFT_SIDE
